"","Estimate","Std. Error","t value","Pr(>|t|)"
"U0",410.118269833512,21.7057164688535,18.8944820329708,2.70627953657455e-10
"pv",2.03858160075429,0.0699746579266139,29.1331413565789,1.66639829388171e-12
