"","Estimate","Std. Error","t value","Pr(>|t|)"
"U0",1233.25636390762,24.8157226259553,49.6965727130482,7.54412157605403e-20
"pv",2.51950936721409,0.0333595271632144,75.5259316142932,6.32568592627179e-23
