model_idx,tree_idx,node_idx,lchild_idx,rchild_idx,feature_idx,threshold,neg,pos
0,3,19,20,33,13,0.014592302792121356,65,80
0,3,20,21,30,5,7.984935184933681,55,76
0,3,21,22,23,8,945.6125905479363,42,48
0,3,22,-1,-1,-2,-2.0,14,6
0,3,23,24,27,0,764.2278046161997,28,42
0,3,24,25,26,10,17170.566204316245,12,26
0,3,25,-1,-1,-2,-2.0,10,15
0,3,26,-1,-1,-2,-2.0,2,11
0,3,27,28,29,2,0.05474037771088309,16,16
0,3,28,-1,-1,-2,-2.0,5,8
0,3,29,-1,-1,-2,-2.0,11,8
0,3,30,31,32,7,0.9129289658334707,13,28
0,3,31,-1,-1,-2,-2.0,6,16
0,3,32,-1,-1,-2,-2.0,7,12
0,3,33,-1,-1,-2,-2.0,10,4
0,3,34,-1,-1,-2,-2.0,12,2
0,4,0,1,2,0,555.6807453849729,271,107
0,4,1,-1,-1,-2,-2.0,23,0
0,4,2,3,32,0,789.4477865809797,248,107
0,4,3,4,27,0,721.2467658455702,242,96
0,4,4,5,8,0,644.9070161915882,188,36
0,4,5,6,7,1,0.8988973769183649,50,1
0,4,6,-1,-1,-2,-2.0,16,1
0,4,7,-1,-1,-2,-2.0,34,0
0,4,8,9,14,0,684.3328674423195,138,35
0,4,9,10,11,8,966.2367695906371,49,6
0,4,10,-1,-1,-2,-2.0,20,0
0,4,11,12,13,10,11871.608238607463,29,6
0,4,12,-1,-1,-2,-2.0,15,1
0,4,13,-1,-1,-2,-2.0,14,5
0,4,14,15,26,6,2.7946053793628725,89,29
0,4,15,16,25,6,0.7229051937921462,73,28
0,4,16,17,22,8,1598.0440033520777,58,27
0,4,17,18,21,9,577.9418656918881,41,13
0,4,18,19,20,9,173.34078395801632,33,7
0,4,19,-1,-1,-2,-2.0,12,1
0,4,20,-1,-1,-2,-2.0,21,6
0,4,21,-1,-1,-2,-2.0,8,6
0,4,22,23,24,0,703.4764197070507,17,14
0,4,23,-1,-1,-2,-2.0,10,4
0,4,24,-1,-1,-2,-2.0,7,10
0,4,25,-1,-1,-2,-2.0,15,1
0,4,26,-1,-1,-2,-2.0,16,1
0,4,27,28,31,7,0.5344468273848513,54,60
0,4,28,29,30,8,1816.2999447031411,44,43
0,4,29,-1,-1,-2,-2.0,21,10
0,4,30,-1,-1,-2,-2.0,23,33
0,4,31,-1,-1,-2,-2.0,10,17
0,4,32,-1,-1,-2,-2.0,6,11
0,5,0,1,32,15,0.056941770043662646,271,107
0,5,1,2,31,10,63878.04555607869,225,98
0,5,2,3,10,8,716.2926396202728,217,87
0,5,3,4,5,8,220.99242056766172,73,8
0,5,4,-1,-1,-2,-2.0,29,0
0,5,5,6,9,8,573.8846067077875,44,8
0,5,6,7,8,0,694.1713828282298,30,7
0,5,7,-1,-1,-2,-2.0,14,0
0,5,8,-1,-1,-2,-2.0,16,7
0,5,9,-1,-1,-2,-2.0,14,1
0,5,10,11,24,0,730.3765658155905,144,79
0,5,11,12,23,4,6.94377098835249,110,27
0,5,12,13,22,6,4.299694810667864,97,26
0,5,13,14,21,10,26079.187810830394,81,26
0,5,14,15,18,4,2.1359045599288793,73,20
0,5,15,16,17,10,5587.107861338699,40,15
0,5,16,-1,-1,-2,-2.0,28,7
0,5,17,-1,-1,-2,-2.0,12,8
0,5,18,19,20,4,4.119761765058973,33,5
0,5,19,-1,-1,-2,-2.0,18,1
0,5,20,-1,-1,-2,-2.0,15,4
0,5,21,-1,-1,-2,-2.0,8,6
0,5,22,-1,-1,-2,-2.0,16,0
0,5,23,-1,-1,-2,-2.0,13,1
0,5,24,25,30,5,7.9673805925843215,34,52
0,5,25,26,29,12,29.143750776603703,29,35
0,5,26,27,28,8,3622.5211294705614,14,23
0,5,27,-1,-1,-2,-2.0,8,11
0,5,28,-1,-1,-2,-2.0,6,12
0,5,29,-1,-1,-2,-2.0,15,12
0,5,30,-1,-1,-2,-2.0,5,17
0,5,31,-1,-1,-2,-2.0,8,11
0,5,32,33,34,0,656.7811638516287,46,9
0,5,33,-1,-1,-2,-2.0,22,0
0,5,34,35,36,6,0.5556366213390774,24,9
0,5,35,-1,-1,-2,-2.0,10,8
0,5,36,-1,-1,-2,-2.0,14,1
0,6,0,1,32,6,0.5665292044014341,271,107
0,6,1,2,5,5,1.4184156737376077,175,101
0,6,2,3,4,4,0.40230452939975286,32,5
0,6,3,-1,-1,-2,-2.0,14,2
