index,left_child,right_child,feature,threshold,0,1
0,1,14,2,0.028444005310769883,271.0,107.0
1,2,3,0,517.5706361153026,101.0,26.0
2,-1,-1,-2,-2.0,13.0,0.0
3,4,13,6,2.9504404850073347,88.0,26.0
4,5,6,0,645.8966561774242,69.0,26.0
5,-1,-1,-2,-2.0,14.0,0.0
6,7,8,8,1828.4064515602804,55.0,26.0
7,-1,-1,-2,-2.0,33.0,4.0
8,9,12,2,0.007310835815291599,22.0,22.0
9,10,11,9,3063.819920822872,15.0,16.0
10,-1,-1,-2,-2.0,5.0,11.0
11,-1,-1,-2,-2.0,10.0,5.0
12,-1,-1,-2,-2.0,7.0,6.0
13,-1,-1,-2,-2.0,19.0,0.0
14,15,24,13,0.006581646266124846,170.0,81.0
15,16,23,12,35.36980716947923,61.0,47.0
16,17,22,0,756.919596356768,41.0,39.0
17,18,21,8,5047.558689266238,32.0,23.0
18,19,20,3,0.36522121371944494,23.0,18.0
19,-1,-1,-2,-2.0,13.0,13.0
20,-1,-1,-2,-2.0,10.0,5.0
21,-1,-1,-2,-2.0,9.0,5.0
22,-1,-1,-2,-2.0,9.0,16.0
23,-1,-1,-2,-2.0,20.0,8.0
24,25,38,9,2095.6337105080643,109.0,34.0
25,26,29,9,331.1797043649385,102.0,27.0
26,27,28,3,0.29211339368117667,33.0,3.0
27,-1,-1,-2,-2.0,18.0,0.0
28,-1,-1,-2,-2.0,15.0,3.0
29,30,37,6,0.32058186471489347,69.0,24.0
30,31,32,4,1.1823214433073632,43.0,23.0
31,-1,-1,-2,-2.0,6.0,9.0
32,33,34,4,2.0670999428569803,37.0,14.0
33,-1,-1,-2,-2.0,8.0,7.0
34,35,36,3,0.07226727207762527,29.0,7.0
35,-1,-1,-2,-2.0,18.0,3.0
36,-1,-1,-2,-2.0,11.0,4.0
37,-1,-1,-2,-2.0,26.0,1.0
38,-1,-1,-2,-2.0,7.0,7.0
