delta,z,confidence_level
0.0,1.85611711492,0.968281566622
0.05,1.60420849157,0.945665948198
0.1,1.36111926762,0.913261999182
0.15,1.12676313435,0.870078679417
0.2,0.90100503388,0.816207178389
0.25,0.683670538565,0.752908384386
0.3,0.474554160966,0.682447607364
0.35,0.273426617391,0.607737352833
0.4,0.0800410980827,0.531897715367
0.45,-0.105861383598,0.457846166637
0.5,-0.284547479876,0.38799542668
0.55,-0.456287747626,0.324091536704
0.6,-0.621353550509,0.267183513395
0.65,-0.780014540293,0.217691158329
0.7,-0.932536638898,0.175529630461
0.75,-1.0791804493,0.14025364668
0.8,-1.22020003057,0.111194527649
0.85,-1.35584197955,0.0875747256556
0.9,-1.48634476866,0.0685939753977
0.95,-1.6119382958,0.0534876838379
1.0,-1.7328436086,0.0415617347509
