"","Estimate","Std. Error","t value","Pr(>|t|)"
"U0",510.293339693049,15.1580830947284,33.6647672732786,2.10543954258387e-18
"pv",2.73542962623777,0.053630125145496,51.0054678935893,8.54475119617189e-22
