"","Estimate","Std. Error","t value","Pr(>|t|)"
"U0",472.202811048108,16.6097683800473,28.4292231079722,8.75719027981304e-14
"pv",2.00121851625469,0.045661162082555,43.8275861800562,2.18202776469785e-16
