Credibility_pct,exp_min_return_PageViewsLift
99.8024996781,-0.563120419262
99.6406818614,-0.442390179662
99.1893919604,-0.36471064998
98.4678981978,-0.305543862031
97.5335399752,-0.257111059183
96.4398526467,-0.215906380521
95.2294791217,-0.180017814773
93.9349867915,-0.148266911976
92.5809970318,-0.11986324348
91.1861352149,-0.094243231848
89.7645508289,-0.0709863097081
88.3270477228,-0.0497674937953
86.8819136561,-0.0303287148328
85.4355292958,-0.0124605267195
83.9928178914,0.00401009186397
82.5575800047,0.0192281793669
81.1327449033,0.0333168186293
79.720561066,0.0463815557767
78.3227418103,0.0585137144256
76.9405775312,0.0697929306581
75.5750228772,0.08028912539
74.2267649432,0.0900640621407
72.8962769662,0.0991725936949
71.5838608593,0.107663671535
70.2896810914,0.115581171766
69.0137918047,0.122964577248
67.7561586191,0.12984954574
66.5166762322,0.136268386748
65.2951826757,0.14225046451
64.0914708983,0.147822540755
62.9052982,0.153009067911
61.7363939305,0.157832441278
60.5844657827,0.162313216976
59.4492049397,0.166470301168
58.3302902871,0.170321115032
57.2273918574,0.173881739159
56.1401736443,0.177167040382
55.0682958956,0.180190783563
54.0114169749,0.182965730415
52.9691948662,0.185503727114
51.9412883805,0.187815782178
50.9273581139,0.189912135855
49.9270671979,0.191802322088
48.9400818753,0.193495223945
47.9660719284,0.194999123302
47.0047109835,0.196321745429
46.0556767095,0.197470299046
45.1186509261,0.198451512353
44.1933196346,0.199271665434
43.2793729809,0.199936619428
42.3765051595,0.20045184275
41.4844142651,0.20082243466
40.6028020963,0.201053146397
39.731373916,0.201148400091
38.8698381698,0.201112305604
38.0179061657,0.200948675461
37.1752917135,0.200661037984
36.3417107257,0.200252648709
35.516880776,0.199726500187
34.7005206149,0.199085330184
33.8923496374,0.198331628338
33.0920872989,0.197467641269
32.2994524727,0.196495376115
31.514162742,0.195416602473
30.7359336162,0.194232852654
29.964477661,0.192945420159
29.1995035273,0.191555356244
28.4407148632,0.190063464369
27.6878090869,0.188470292318
26.9404759956,0.186776121675
26.1983961803,0.184980954282
25.4612392062,0.183084495195
24.7286615121,0.181086131541
24.0003039691,0.178984906509
23.2757890221,0.176779487498
22.5547173217,0.17446812719
21.8366637207,0.172048615947
21.1211724813,0.169518223461
20.407751485,0.166873626946
19.6958651751,0.16411082228
18.9849258684,0.161225013283
18.2742829471,0.158210472605
17.5632092543,0.155060365243
16.8508837535,0.151766522077
16.1363691123,0.148319145532
15.4185822686,0.144706421263
14.6962550978,0.140913997089
13.9678807952,0.136924269985
13.2316390989,0.132715388065
12.4852892138,0.128259816229
11.726011658,0.123522209433
10.9501658765,0.118456139531
10.1529017213,0.112998823845
9.3275010227,0.107062142345
8.46417933717,0.100516182677
7.54768849907,0.0931560515854
6.55183545335,0.0846252168327
5.42409665487,0.0741973255884
4.02273336818,0.0598650991712
