Credibility_pct,exp_min_return_PageViewsDiff
98.0878752506,-0.0823930603799
96.8619101657,-0.0636198285711
95.7265077716,-0.0517484081286
94.6364283697,-0.0428850189916
93.5738359852,-0.0357487206307
92.5295514519,-0.0297487159601
91.4981440912,-0.0245608314121
90.4761079379,-0.0199868349171
89.4610396833,-0.0158961089542
88.4512183302,-0.0121977406279
87.4453700531,-0.00882573826799
86.4425274581,-0.00573058049892
85.4419407695,-0.00287408890606
84.4430193448,-0.000226164623982
83.4452917885,0.00223737218843
82.4483779383,0.0045362607112
81.4519686932,0.0066868398527
80.455811172,0.00870279833938
79.4596975885,0.0105957270148
78.4634567741,0.0123755330967
77.4669476249,0.0140507560278
76.4700539696,0.0156288118435
75.4726805061,0.0171161847302
74.4747495476,0.0185185789771
73.4761983969,0.0198410408117
72.4769772068,0.0210880570495
71.4770472255,0.0222636356886
70.476379347,0.0233713722975
69.474952907,0.0244145051171
68.4727546778,0.0253959611157
67.4697780238,0.0263183947343
66.4660221911,0.0271842206782
65.4614917067,0.0279956418274
64.4561958692,0.0287546731148
63.4501483171,0.029463162058
62.4433666607,0.0301228064908
61.4358721705,0.0307351699456
60.4276895115,0.0313016950491
59.4188465187,0.0318237152328
58.4093740072,0.0323024650062
57.399305613,0.032739088999
56.3886776605,0.0331346499442
55.3775290538,0.0334901357465
54.3659011888,0.0338064657575
53.3538378845,0.0340844963603
52.3413853312,0.0343250259508
51.3285920547,0.0345287993908
50.3155088948,0.0346965119941
49.3021889975,0.0348288131032
48.28868782,0.0349263092999
47.2750631481,0.034989567293
46.2613751253,0.0350191165156
45.247686294,0.0350154514632
44.2340616484,0.0349790337981
43.2205686981,0.034910294242
42.2072775454,0.0348096342768
41.1942609738,0.03467742767
40.1815945493,0.0345140218385
39.1693567364,0.0343197390627
38.1576290274,0.0340948775627
37.1464960878,0.033839712442
36.1360459189,0.0335544965085
35.1263700378,0.0332394609756
34.1175636791,0.032894816048
33.1097260171,0.0325207513945
32.102960415,0.0321174365072
31.0973747001,0.0316850209465
30.0930814714,0.0312236344693
29.0901984426,0.0307333870341
28.0888488251,0.0302143686766
27.0891617576,0.0296666492453
26.0912727882,0.0290902779835
25.0953244181,0.0284852829415
24.1014667164,0.0278516701948
23.1098580179,0.027189422843
22.1206657183,0.0264984997511
21.1340671854,0.02577883399
20.1502508069,0.0250303309161
19.1694172038,0.0242528658167
18.1917806421,0.0234462810236
17.2175706879,0.0226103823682
16.2470341605,0.0217449348097
15.2804374567,0.0208496570124
14.3180693421,0.0199242145643
13.3602443349,0.0189682114164
12.4073068569,0.017981178946
11.4596363878,0.0169625617926
10.5176539612,0.0159116992101
9.58183048486,0.014827800045
8.65269760907,0.0137099083979
7.73086224674,0.0125568552258
6.81702651051,0.0113671879212
5.9120160163,0.0101390638005
5.01682178711,0.00887008110729
4.13266578081,0.00755699408958
3.26111132868,0.00619519284487
2.40427094137,0.00477764402789
1.56527518183,0.00329235652492
0.749802725953,0.00171446523706
