Credibility_pct,ProbDiff
98.5625938403,-0.0600147143417
97.5030948966,-0.0475794203328
96.4865255851,-0.0396896249724
95.492114613,-0.0337544392553
94.5112739567,-0.0289266235362
93.5394406687,-0.0248173940929
92.5738464849,-0.0212144037414
91.6126652007,-0.0179883556152
90.654619998,-0.015054393915
89.6987791296,-0.0123536773623
88.7444399367,-0.00984364315777
87.7910585397,-0.0074924545879
86.838204968,-0.00527564000524
85.8855333128,-0.00317395838138
84.9327611824,-0.00117198925899
83.9796551516,0.000742830061258
83.0260202002,0.00258088070887
82.0716918858,0.00435084878619
81.116530435,0.00606008292522
80.160416212,0.00771486197879
79.2032461922,0.00932059875946
78.2449311855,0.0108819974026
77.2853936224,0.0124031765287
76.3245657731,0.0138877667999
75.3623883013,0.0153389890406
74.3988090793,0.016759717423
73.4337822111,0.018152531045
72.4672672209,0.0195197563917
71.4992283756,0.0208635025719
70.5296341158,0.0221856907756
69.5584565756,0.0234880790746
68.5856711761,0.024772283441
67.6112562797,0.0260397956749
66.635192896,0.0272919987898
65.6574644305,0.0285301802956
64.6780564696,0.0297555437346
63.6969565974,0.0309692187583
62.7141542387,0.0321722699827
61.7296405261,0.033365704816
60.7434081865,0.0345504804212
59.7554514459,0.0357275099484
58.7657659506,0.0368976681514
57.7743487012,0.0380617964849
56.7811980012,0.039220707765
55.7863134156,0.040375190465
54.7896957419,0.0415260127088
53.7913469902,0.0426739260164
52.7912703737,0.0438196688518
51.7894703078,0.0449639700164
50.7859524192,0.0461075519317
49.780723563,0.0472511338469
48.7737918499,0.0483954350116
47.7651666822,0.0495411778469
46.7548587987,0.0506890911545
45.742880331,0.0518399133983
44.7292448696,0.0529943960984
43.7139675409,0.0541533073784
42.697065098,0.0553174357119
41.6785560231,0.056487593915
40.6584606466,0.0576646234422
39.6368012807,0.0588493990473
38.613602373,0.0600428338806
37.5888906799,0.061245885105
36.5626954629,0.0624595601287
35.5350487127,0.0636849235677
34.5059854021,0.0649231050736
33.4755437747,0.0661753081885
32.4437656735,0.0674428204223
31.4106969161,0.0687270247887
30.3763877244,0.0700294130877
29.3408932184,0.0713516012915
28.3042739851,0.0726953474716
27.2665967375,0.0740625728183
26.2279350795,0.0754553864403
25.1883703999,0.0768761148228
24.147992922,0.0783273370634
23.1069029409,0.0798119273346
22.0652122947,0.0813331064607
21.0230461227,0.0828945051039
19.9805449821,0.0845002418845
18.9378674193,0.0861550209381
17.8951931182,0.0878642550771
16.8527267949,0.0896342231545
15.8107030676,0.0914722738021
14.7693926197,0.0933870931223
13.7291101072,0.0953890622447
12.6902244593,0.0974907438686
11.6531725345,0.0997075584512
10.6184775902,0.102058747021
9.58677485235,0.104568781226
8.55884789474,0.107269497778
7.53568211338,0.110203459479
6.51854650561,0.113429507605
5.50912503598,0.117032497956
4.50974133328,0.1211417274
3.52377642921,0.125969543119
2.55654156555,0.131904728836
1.6174572518,0.139794524196
0.727538361861,0.152229818205
