ProbLift,exp_min_return
-0.443598236033,-0.442630981341
-0.349262489361,-0.347596927553
-0.289409482598,-0.2864378245
-0.244384397075,-0.239952417033
-0.2077599634,-0.201987983078
-0.176586818036,-0.169745915708
-0.149254067816,-0.141693556278
-0.124780850008,-0.11688654538
-0.102523437558,-0.0946935620294
-0.0820354529255,-0.0746667153839
-0.062994009218,-0.0564736662067
-0.0451575890138,-0.0398590797793
-0.0283405472343,-0.0246212917143
-0.0123969189524,-0.0105974329759
0.00279027741302,0.00234646618648
0.0173163441219,0.0143222997383
0.0312600337636,0.0254247357528
0.0446872402325,0.0357347543606
0.0576537112003,0.0453222873263
0.0702070788557,0.0542482263184
0.0823884054938,0.062565977334
0.094233377293,0.0703226822225
0.105773238641,0.0775601916091
0.117035532209,0.0843158491771
0.128044691588,0.0906231307303
0.138822520619,0.0965121700028
0.149388584671,0.102010195101
0.159760532761,0.107141893664
0.169954364861,0.11192972062
0.179984655368,0.116394159279
0.189864741239,0.120553944204
0.199606881448,0.124426252515
0.209222392985,0.128026868955
0.218721767567,0.131370328988
0.228114772412,0.134470043411
0.237410537745,0.137338407298
0.246617633251,0.139986895622
0.255744135242,0.142426147463
0.264797686049,0.144666040417
0.273785546832,0.146715756525
0.282714644867,0.148583840873
0.29159161615,0.150278253777
0.300422844063,0.151806417391
0.309214494735,0.153175257389
0.317972549627,0.154391240327
0.326702835825,0.155460407176
0.335411054458,0.156388403451
0.344102807607,0.157180506305
0.352783624057,0.157841648914
0.361458984187,0.158376442409
0.370134344318,0.158789195615
0.378815160767,0.159083932772
0.387506913916,0.159264409434
0.396215132549,0.159334126683
0.404945418747,0.15929634379
0.413703473639,0.159154089423
0.422495124311,0.158910171493
0.431326352225,0.158567185705
0.440203323507,0.158127522863
0.449132421543,0.157593374976
0.458120282326,0.15696674016
0.467173833132,0.156249426371
0.476300335124,0.155443053918
0.485507430629,0.154549056751
0.494803195963,0.153568682442
0.504196200808,0.152502990788
0.51369557539,0.151352850931
0.523311086926,0.150118936832
0.533053227136,0.148801720925
0.542933313007,0.147401465714
0.552963603513,0.14591821301
0.563157435613,0.144351770433
0.573529383704,0.142701694702
0.584095447756,0.14096727113
0.594873276787,0.13914748854
0.605882436165,0.137241008651
0.617144729733,0.135246128684
0.628684591081,0.133160735561
0.640529562881,0.130982249593
0.652710889519,0.128707554848
0.665264257174,0.126332912463
0.678230728142,0.123853851798
0.691657934611,0.121265032464
0.705601624253,0.118560067417
0.720127690961,0.115731293209
0.735314887327,0.112769467153
0.751258515609,0.10966336132
0.768075557388,0.106399207516
0.785911977592,0.102959921192
0.8049534213,0.0993239872963
0.825441405932,0.095463810295
0.847698818382,0.0913431781292
0.87217203619,0.0869131838926
0.89950478641,0.0821052875601
0.930677931774,0.0768186301031
0.967302365449,0.0708945028865
1.01232745097,0.0640575337428
1.07218045774,0.0557488609572
1.16651620441,0.0444329522158
