Credibility_pct,OddsFactor
99.8024996781,0.435765215222
99.6406818614,0.556014499904
99.1893919604,0.632308815719
98.4678981978,0.689702057601
97.5335399752,0.73638703235
96.4398526467,0.776123278296
95.2294791217,0.810964192566
93.9349867915,0.842160075771
92.5809970318,0.870531483433
91.1861352149,0.896647410677
89.7645508289,0.920919439743
88.3270477228,0.943655431628
86.8819136561,0.965092027147
85.4355292958,0.985415287033
83.9928178914,1.0047743271
82.5575800047,1.02329062863
81.1327449033,1.04106457716
79.720561066,1.05818016727
78.3227418103,1.07470846024
76.9405775312,1.09071017257
75.5750228772,1.10623764616
74.2267649432,1.12133636999
72.8962769662,1.13604617111
71.5838608593,1.15040215803
70.2896810914,1.16443547612
69.0137918047,1.17817391862
67.7561586191,1.19164242541
66.5166762322,1.20486349359
65.2951826757,1.21785751824
64.0914708983,1.23064307728
62.9052982,1.24323717126
61.7363939305,1.25565542661
60.5844657827,1.26791226906
59.4492049397,1.28002107234
58.3302902871,1.29199428666
57.2273918574,1.30384355029
56.1401736443,1.31557978695
55.0682958956,1.32721329148
54.0114169749,1.33875380551
52.9691948662,1.35021058482
51.9412883805,1.36159245955
50.9273581139,1.37290788859
49.9270671979,1.38416500879
48.9400818753,1.39537168008
47.9660719284,1.40653552701
47.0047109835,1.41766397734
46.0556767095,1.42876429825
45.1186509261,1.43984363069
44.1933196346,1.45090902218
43.2793729809,1.46196745853
42.3765051595,1.47302589488
41.4844142651,1.48409128637
40.6028020963,1.49517061882
39.731373916,1.50627093973
38.8698381698,1.51739939005
38.0179061657,1.52856323698
37.1752917135,1.53976990828
36.3417107257,1.55102702848
35.516880776,1.56234245751
34.7005206149,1.57372433225
33.8923496374,1.58518111155
33.0920872989,1.59672162558
32.2994524727,1.60835513011
31.514162742,1.62009136677
30.7359336162,1.6319406304
29.964477661,1.64391384473
29.1995035273,1.656022648
28.4407148632,1.66827949045
27.6878090869,1.68069774581
26.9404759956,1.69329183978
26.1983961803,1.70607739882
25.4612392062,1.71907142348
24.7286615121,1.73229249166
24.0003039691,1.74576099844
23.2757890221,1.75949944094
22.5547173217,1.77353275903
21.8366637207,1.78788874595
21.1211724813,1.80259854708
20.407751485,1.8176972709
19.6958651751,1.83322474449
18.9849258684,1.84922645682
18.2742829471,1.86575474979
17.5632092543,1.88287033991
16.8508837535,1.90064428843
16.1363691123,1.91916058997
15.4185822686,1.93851963003
14.6962550978,1.95884288992
13.9678807952,1.98027948544
13.2316390989,2.00301547732
12.4852892138,2.02728750639
11.726011658,2.05340343363
10.9501658765,2.08177484129
10.1529017213,2.1129707245
9.3275010227,2.14781163877
8.46417933717,2.18754788471
7.54768849907,2.23423285946
6.55183545335,2.29162610135
5.42409665487,2.36792041716
4.02273336818,2.48816970184
