true_probability_control,Bayesian_PDF
0.0663196973403,0.158309611761
0.0709339307432,0.284966535569
0.0738743314161,0.400284969096
0.0760834296312,0.508344366791
0.0778738889526,0.611051268378
0.0793904704237,0.709516942423
0.0807127516145,0.804470043364
0.0818894287447,0.896425326017
0.0829525879863,0.985765767352
0.083924550894,1.07278739559
0.0848215064954,1.15772585305
0.0856555900634,1.24077314027
0.0864361453788,1.32208869554
0.0871705285474,1.40180701844
0.0878646403164,1.48004308737
0.0885232903537,1.55689631499
0.0891504535914,1.63245350356
0.0897494550059,1.7067910972
0.0903231056322,1.77997692848
0.0908738045417,1.85207159358
0.0914036165583,1.92312954975
0.0919143323517,1.99320000164
0.0924075155168,2.06232762514
0.0928845398933,2.13055316411
0.0933466194684,2.19791392678
0.0937948325707,2.2644442021
0.0942301416211,2.33017561143
0.0946534093901,2.39513740774
0.0950654124794,2.45935673174
0.0954668525827,2.5228588323
0.0958583659504,2.58566725739
0.0962405313945,2.6478040201
0.0966138770964,2.70928974377
0.0969788864277,2.77014378937
0.0973360029508,2.8303843679
0.0976856347361,2.89002863967
0.0980281581043,2.94909280263
0.0983639208847,3.00759217098
0.0986932452621,3.06554124551
0.0990164302742,3.12295377665
0.09933375401,3.17984282116
0.0996454755509,3.23622079329
0.0999518366899,3.29209951099
0.10025306346,3.34749023782
0.100549367495,3.40240372102
0.100840947245,3.45685022619
0.101127989069,3.5108395689
0.101410668208,3.56438114362
0.101689149669,3.61748395022
0.10196358902,3.67015661829
0.102234133103,3.72240742949
0.102500920691,3.77424433817
0.102764083074,3.82567499036
0.103023744595,3.87670674134
0.103280023143,3.92734667187
0.103533030599,3.97760160332
0.10378287324,4.02747811155
0.104029652117,4.07698253999
0.104273463397,4.12612101171
0.104514398676,4.17489944068
0.104752545271,4.22332354229
0.104987986488,4.27139884317
0.105220801863,4.31913069037
0.105451067396,4.36652425997
0.105678855756,4.41358456515
0.10590423648,4.46031646369
0.106127276152,4.50672466513
0.106348038569,4.55281373744
0.1065665849,4.59858811325
0.106782973829,4.64405209579
0.10699726169,4.68920986451
0.107209502595,4.73406548023
0.107419748549,4.77862289022
0.107628049562,4.8228859328
0.10783445375,4.86685834182
0.108039007431,4.91054375088
0.108241755216,4.95394569724
0.108442740093,4.99706762564
0.108642003508,5.03991289185
0.108839585436,5.08248476609
0.109035524452,5.12478643623
0.109229857799,5.16682101083
0.109422621447,5.20859152212
0.109613850153,5.2501009287
0.109803577516,5.29135211821
0.109991836028,5.33234790987
0.110178657123,5.37309105681
0.110364071225,5.41358424843
0.110548107789,5.45383011252
0.110730795344,5.49383121739
0.110912161534,5.53359007384
0.11109223315,5.57310913703
0.111271036171,5.61239080838
0.111448595794,5.65143743722
0.111624936464,5.69025132253
0.11180008191,5.72883471448
0.111974055168,5.767189816
0.112146878608,5.80531878422
0.112318573966,5.8432237319
0.112489162362,5.88090672873
0.112658664325,5.9183698027
0.112827099818,5.95561494127
0.112994488255,5.99264409261
0.113160848525,6.02945916674
0.113326199008,6.0660620366
0.113490557598,6.10245453916
0.113653941715,6.13863847641
0.113816368325,6.17461561636
0.113977853955,6.21038769397
0.11413841471,6.24595641206
0.114298066286,6.28132344222
0.114456823983,6.3164904256
0.114614702723,6.35145897378
0.114771717055,6.38623066954
0.114927881176,6.4208070676
0.115083208938,6.45518969538
0.115237713859,6.48938005368
0.115391409134,6.52337961739
0.115544307649,6.55718983613
0.115696421987,6.5908121349
0.115847764438,6.6242479147
0.115998347011,6.6574985531
0.116148181438,6.69056540485
0.116297279188,6.7234498024
0.116445651472,6.75615305649
0.11659330925,6.78867645661
0.116740263242,6.82102127157
0.116886523931,6.85318874994
0.117032101574,6.88518012053
0.117177006206,6.91699659289
0.117321247647,6.94863935771
0.117464835509,6.98010958727
0.117607779203,7.01140843586
0.117750087941,7.04253704017
0.117891770746,7.07349651971
0.118032836454,7.10428797718
0.118173293721,7.13491249882
0.118313151029,7.16537115481
0.118452416687,7.19566499958
0.11859109884,7.22579507219
0.118729205472,7.25576239662
0.118866744407,7.2855679821
0.119003723321,7.31521282344
0.119140149737,7.34469790134
0.119276031034,7.37402418262
0.119411374454,7.40319262059
0.119546187096,7.43220415528
0.119680475928,7.46105971369
0.11981424779,7.48976021013
0.11994750939,7.51830654639
0.120080267317,7.54669961205
0.120212528037,7.57494028469
0.120344297898,7.60302943014
0.120475583136,7.6309679027
0.120606389871,7.65875654538
0.120736724119,7.6863961901
0.120866591785,7.71388765792
0.120995998674,7.74123175922
0.121124950487,7.76842929395
0.121253452827,7.79548105177
0.121381511201,7.82238781229
0.121509131021,7.8491503452
0.121636317608,7.87576941053
0.121763076193,7.90224575877
0.121889411918,7.92858013106
0.12201532984,7.95477325935
0.122140834933,7.98082586658
0.122265932088,8.00673866685
0.122390626118,8.03251236554
0.122514921754,8.05814765951
0.122638823655,8.08364523721
0.122762336403,8.10900577884
0.122885464507,8.13422995653
0.123008212405,8.1593184344
0.123130584464,8.18427186878
0.123252584985,8.20909090829
0.123374218201,8.23377619399
0.123495488278,8.25832835951
0.12361639932,8.28274803115
0.123736955369,8.30703582806
0.123857160403,8.33119236228
0.123977018341,8.35521823893
0.124096533046,8.37911405625
0.124215708318,8.4028804058
0.124334547907,8.42651787249
0.124453055503,8.45002703472
0.124571234744,8.47340846449
0.124689089215,8.4966627275
0.124806622448,8.51979038323
0.124923837927,8.54279198506
0.125040739082,8.56566808036
0.125157329299,8.58841921057
0.125273611912,8.61104591131
0.12538959021,8.63354871247
0.125505267438,8.65592813828
