Credibility_pct,exp_min_return_ProbLift
99.7819525386,-0.442630981341
99.5231203296,-0.347596927553
98.9731994712,-0.2864378245
98.1864717657,-0.239952417033
97.2218033604,-0.201987983078
96.1260402086,-0.169745915708
94.9344686895,-0.141693556278
93.6734646165,-0.11688654538
92.3628433509,-0.0946935620294
91.0176182628,-0.0746667153839
89.6492649187,-0.0564736662067
88.2666250562,-0.0398590797793
86.8765571488,-0.0246212917143
85.4844096068,-0.0105974329759
84.0943690952,0.00234646618648
82.7097200047,0.0143222997383
81.333039961,0.0254247357528
79.9663487265,0.0357347543606
78.6112227343,0.0453222873263
77.2688839965,0.0542482263184
75.9402697007,0.062565977334
74.626087107,0.0703226822225
73.3268571573,0.0775601916091
72.042949338,0.0843158491771
70.7746097137,0.0906231307303
69.5219835894,0.0965121700028
68.2851339182,0.102010195101
67.0640563177,0.107141893664
65.858691368,0.11192972062
64.6689347165,0.116394159279
63.4946454078,0.120553944204
62.3356527651,0.124426252515
61.1917620903,0.128026868955
60.0627593906,0.131370328988
58.9484153041,0.134470043411
57.8484883621,0.137338407298
56.7627276998,0.139986895622
55.6908753072,0.142426147463
54.6326678965,0.144666040417
53.5878384461,0.146715756525
52.556117474,0.148583840873
51.5372340816,0.150278253777
50.5309168032,0.151806417391
49.5368942908,0.153175257389
48.5548958575,0.154391240327
47.5846519004,0.155460407176
46.6258942192,0.156388403451
45.6783562443,0.157180506305
44.7417731862,0.157841648914
43.8158821159,0.158376442409
42.9004219826,0.158789195615
41.9951335764,0.159083932772
41.0997594402,0.159264409434
40.2140437337,0.159334126683
39.3377320535,0.15929634379
38.4705712095,0.159154089423
37.612308959,0.158910171493
36.7626936974,0.158567185705
35.9214741051,0.158127522863
35.0883987477,0.157593374976
34.2632156261,0.15696674016
33.4456716728,0.156249426371
32.6355121875,0.155443053918
31.8324802055,0.154549056751
31.0363157907,0.153568682442
30.2467552401,0.152502990788
29.4635301884,0.151352850931
28.6863665957,0.150118936832
27.9149835982,0.148801720925
27.1490921965,0.147401465714
26.3883937538,0.14591821301
25.6325782639,0.144351770433
24.8813223449,0.142701694702
24.1342868998,0.14096727113
23.3911143717,0.13914748854
22.6514255009,0.137241008651
21.9148154668,0.135246128684
21.1808492606,0.133160735561
20.449056091,0.130982249593
19.7189225605,0.128707554848
18.9898842603,0.126332912463
18.2613153104,0.123853851798
17.5325151923,0.121265032464
16.8026919641,0.118560067417
16.0709405654,0.115731293209
15.3362143344,0.112769467153
14.5972869581,0.10966336132
13.852700622,0.106399207516
13.1006937325,0.102959921192
12.3390974767,0.0993239872963
11.5651831382,0.095463810295
10.775428271,0.0913431781292
9.96514222954,0.0869131838926
9.12783220284,0.0821052875601
8.25405088919,0.0768186301031
7.32909433686,0.0708945028865
6.32774836652,0.0640575337428
5.19957816383,0.0557488609572
3.80903000301,0.0444329522158
