true_probability_control,Bayesian_CDF
0.0663196973403,0.001
0.0709339307432,0.002
0.0738743314161,0.003
0.0760834296312,0.004
0.0778738889526,0.005
0.0793904704237,0.006
0.0807127516145,0.007
0.0818894287447,0.008
0.0829525879863,0.009
0.083924550894,0.01
0.0848215064954,0.011
0.0856555900634,0.012
0.0864361453788,0.013
0.0871705285474,0.014
0.0878646403164,0.015
0.0885232903537,0.016
0.0891504535914,0.017
0.0897494550059,0.018
0.0903231056322,0.019
0.0908738045417,0.02
0.0914036165583,0.021
0.0919143323517,0.022
0.0924075155168,0.023
0.0928845398933,0.024
0.0933466194684,0.025
0.0937948325707,0.026
0.0942301416211,0.027
0.0946534093901,0.028
0.0950654124794,0.029
0.0954668525827,0.03
0.0958583659504,0.031
0.0962405313945,0.032
0.0966138770964,0.033
0.0969788864277,0.034
0.0973360029508,0.035
0.0976856347361,0.036
0.0980281581043,0.037
0.0983639208847,0.038
0.0986932452621,0.039
0.0990164302742,0.04
0.09933375401,0.041
0.0996454755509,0.042
0.0999518366899,0.043
0.10025306346,0.044
0.100549367495,0.045
0.100840947245,0.046
0.101127989069,0.047
0.101410668208,0.048
0.101689149669,0.049
0.10196358902,0.05
0.102234133103,0.051
0.102500920691,0.052
0.102764083074,0.053
0.103023744595,0.054
0.103280023143,0.055
0.103533030599,0.056
0.10378287324,0.057
0.104029652117,0.058
0.104273463397,0.059
0.104514398676,0.06
0.104752545271,0.061
0.104987986488,0.062
0.105220801863,0.063
0.105451067396,0.064
0.105678855756,0.065
0.10590423648,0.066
0.106127276152,0.067
0.106348038569,0.068
0.1065665849,0.069
0.106782973829,0.07
0.10699726169,0.071
0.107209502595,0.072
0.107419748549,0.073
0.107628049562,0.074
0.10783445375,0.075
0.108039007431,0.076
0.108241755216,0.077
0.108442740093,0.078
0.108642003508,0.079
0.108839585436,0.08
0.109035524452,0.081
0.109229857799,0.082
0.109422621447,0.083
0.109613850153,0.084
0.109803577516,0.085
0.109991836028,0.086
0.110178657123,0.087
0.110364071225,0.088
0.110548107789,0.089
0.110730795344,0.09
0.110912161534,0.091
0.11109223315,0.092
0.111271036171,0.093
0.111448595794,0.094
0.111624936464,0.095
0.11180008191,0.096
0.111974055168,0.097
0.112146878608,0.098
0.112318573966,0.099
0.112489162362,0.1
0.112658664325,0.101
0.112827099818,0.102
0.112994488255,0.103
0.113160848525,0.104
0.113326199008,0.105
0.113490557598,0.106
0.113653941715,0.107
0.113816368325,0.108
0.113977853955,0.109
0.11413841471,0.11
0.114298066286,0.111
0.114456823983,0.112
0.114614702723,0.113
0.114771717055,0.114
0.114927881176,0.115
0.115083208938,0.116
0.115237713859,0.117
0.115391409134,0.118
0.115544307649,0.119
0.115696421987,0.12
0.115847764438,0.121
0.115998347011,0.122
0.116148181438,0.123
0.116297279188,0.124
0.116445651472,0.125
0.11659330925,0.126
0.116740263242,0.127
0.116886523931,0.128
0.117032101574,0.129
0.117177006206,0.13
0.117321247647,0.131
0.117464835509,0.132
0.117607779203,0.133
0.117750087941,0.134
0.117891770746,0.135
0.118032836454,0.136
0.118173293721,0.137
0.118313151029,0.138
0.118452416687,0.139
0.11859109884,0.14
0.118729205472,0.141
0.118866744407,0.142
0.119003723321,0.143
0.119140149737,0.144
0.119276031034,0.145
0.119411374454,0.146
0.119546187096,0.147
0.119680475928,0.148
0.11981424779,0.149
0.11994750939,0.15
0.120080267317,0.151
0.120212528037,0.152
0.120344297898,0.153
0.120475583136,0.154
0.120606389871,0.155
0.120736724119,0.156
0.120866591785,0.157
0.120995998674,0.158
0.121124950487,0.159
0.121253452827,0.16
0.121381511201,0.161
0.121509131021,0.162
0.121636317608,0.163
0.121763076193,0.164
0.121889411918,0.165
0.12201532984,0.166
0.122140834933,0.167
0.122265932088,0.168
0.122390626118,0.169
0.122514921754,0.17
0.122638823655,0.171
0.122762336403,0.172
0.122885464507,0.173
0.123008212405,0.174
0.123130584464,0.175
0.123252584985,0.176
0.123374218201,0.177
0.123495488278,0.178
0.12361639932,0.179
0.123736955369,0.18
0.123857160403,0.181
0.123977018341,0.182
0.124096533046,0.183
0.124215708318,0.184
0.124334547907,0.185
0.124453055503,0.186
0.124571234744,0.187
0.124689089215,0.188
0.124806622448,0.189
0.124923837927,0.19
0.125040739082,0.191
0.125157329299,0.192
0.125273611912,0.193
0.12538959021,0.194
0.125505267438,0.195
0.125620646792,0.196
0.125735731426,0.197
0.125850524452,0.198
0.125965028937,0.199
0.126079247908,0.2
0.12619318435,0.201
0.12630684121,0.202
0.126420221393,0.203
0.126533327768,0.204
0.126646163165,0.205
0.126758730376,0.206
0.126871032159,0.207
0.126983071233,0.208
0.127094850285,0.209
0.127206371965,0.21
0.127317638892,0.211
0.12742865365,0.212
0.12753941879,0.213
0.127649936833,0.214
0.127760210266,0.215
0.127870241547,0.216
0.127980033103,0.217
0.128089587332,0.218
0.128198906601,0.219
0.128307993251,0.22
0.128416849592,0.221
0.128525477908,0.222
0.128633880455,0.223
0.128742059463,0.224
0.128850017135,0.225
0.128957755648,0.226
0.129065277155,0.227
0.129172583781,0.228
0.12927967763,0.229
0.129386560779,0.23
0.129493235284,0.231
0.129599703176,0.232
0.129705966461,0.233
0.129812027128,0.234
0.129917887138,0.235
0.130023548433,0.236
0.130129012934,0.237
0.13023428254,0.238
0.130339359128,0.239
0.130444244558,0.24
0.130548940666,0.241
0.130653449271,0.242
0.130757772171,0.243
0.130861911146,0.244
0.130965867956,0.245
0.131069644343,0.246
0.131173242032,0.247
0.131276662727,0.248
0.131379908118,0.249
0.131482979875,0.25
0.131585879651,0.251
0.131688609083,0.252
0.131791169793,0.253
0.131893563383,0.254
0.131995791441,0.255
0.13209785554,0.256
0.132199757236,0.257
0.132301498069,0.258
0.132403079567,0.259
0.132504503239,0.26
0.132605770583,0.261
0.13270688308,0.262
0.132807842198,0.263
0.132908649391,0.264
0.133009306098,0.265
0.133109813747,0.266
0.13321017375,0.267
0.133310387506,0.268
0.133410456404,0.269
0.133510381816,0.27
0.133610165103,0.271
0.133709807616,0.272
0.133809310691,0.273
0.133908675652,0.274
0.134007903812,0.275
0.134106996472,0.276
0.134205954921,0.277
0.134304780439,0.278
0.134403474291,0.279
0.134502037734,0.28
0.134600472012,0.281
0.13469877836,0.282
0.134796958001,0.283
0.134895012148,0.284
0.134992942005,0.285
0.135090748765,0.286
0.135188433609,0.287
0.135285997711,0.288
0.135383442235,0.289
0.135480768333,0.29
0.13557797715,0.291
0.135675069822,0.292
0.135772047472,0.293
0.135868911219,0.294
0.13596566217,0.295
0.136062301424,0.296
0.136158830071,0.297
0.136255249193,0.298
0.136351559863,0.299
0.136447763147,0.3
0.136543860099,0.301
0.136639851771,0.302
0.136735739201,0.303
0.136831523423,0.304
0.136927205462,0.305
0.137022786335,0.306
0.137118267052,0.307
0.137213648616,0.308
0.13730893202,0.309
0.137404118254,0.31
0.137499208297,0.311
0.137594203123,0.312
0.137689103699,0.313
0.137783910984,0.314
0.137878625931,0.315
0.137973249487,0.316
0.138067782591,0.317
0.138162226177,0.318
0.138256581171,0.319
0.138350848493,0.32
0.138445029058,0.321
0.138539123774,0.322
0.138633133543,0.323
0.13872705926,0.324
0.138820901816,0.325
0.138914662095,0.326
0.139008340976,0.327
0.139101939331,0.328
0.139195458027,0.329
0.139288897927,0.33
0.139382259886,0.331
0.139475544755,0.332
0.13956875338,0.333
0.139661886601,0.334
0.139754945254,0.335
0.139847930167,0.336
0.139940842167,0.337
0.140033682074,0.338
0.140126450702,0.339
0.140219148862,0.34
0.140311777359,0.341
0.140404336995,0.342
0.140496828566,0.343
0.140589252863,0.344
0.140681610674,0.345
0.140773902782,0.346
0.140866129964,0.347
0.140958292995,0.348
0.141050392645,0.349
0.141142429679,0.35
0.141234404859,0.351
0.141326318941,0.352
0.14141817268,0.353
0.141509966825,0.354
0.14160170212,0.355
0.141693379308,0.356
0.141784999125,0.357
0.141876562307,0.358
0.141968069583,0.359
0.142059521679,0.36
0.14215091932,0.361
0.142242263223,0.362
0.142333554104,0.363
0.142424792677,0.364
0.14251597965,0.365
0.142607115729,0.366
0.142698201615,0.367
0.142789238009,0.368
0.142880225605,0.369
0.142971165096,0.37
0.143062057171,0.371
0.143152902518,0.372
0.143243701819,0.373
0.143334455755,0.374
0.143425165002,0.375
0.143515830236,0.376
0.143606452127,0.377
0.143697031345,0.378
0.143787568556,0.379
0.143878064422,0.38
0.143968519604,0.381
0.144058934761,0.382
0.144149310546,0.383
0.144239647614,0.384
0.144329946613,0.385
0.144420208191,0.386
0.144510432994,0.387
0.144600621663,0.388
0.144690774841,0.389
0.144780893163,0.39
0.144870977266,0.391
0.144961027783,0.392
0.145051045345,0.393
0.145141030581,0.394
0.145230984118,0.395
0.14532090658,0.396
0.14541079859,0.397
0.145500660768,0.398
0.145590493732,0.399
0.145680298098,0.4
0.145770074482,0.401
0.145859823495,0.402
0.145949545748,0.403
0.14603924185,0.404
0.146128912408,0.405
0.146218558026,0.406
0.146308179308,0.407
0.146397776856,0.408
0.146487351269,0.409
0.146576903145,0.41
0.146666433082,0.411
0.146755941674,0.412
0.146845429514,0.413
0.146934897195,0.414
0.147024345306,0.415
0.147113774437,0.416
0.147203185174,0.417
0.147292578105,0.418
0.147381953812,0.419
0.14747131288,0.42
0.147560655891,0.421
0.147649983425,0.422
0.147739296061,0.423
0.147828594377,0.424
0.14791787895,0.425
0.148007150357,0.426
0.14809640917,0.427
0.148185655964,0.428
0.148274891311,0.429
0.148364115781,0.43
0.148453329946,0.431
0.148542534373,0.432
0.148631729632,0.433
0.148720916289,0.434
0.148810094911,0.435
0.148899266062,0.436
0.148988430307,0.437
0.149077588209,0.438
0.149166740332,0.439
0.149255887236,0.44
0.149345029484,0.441
0.149434167635,0.442
0.149523302249,0.443
0.149612433884,0.444
0.1497015631,0.445
0.149790690453,0.446
0.149879816501,0.447
0.149968941799,0.448
0.150058066904,0.449
0.15014719237,0.45
0.150236318752,0.451
0.150325446605,0.452
0.150414576482,0.453
0.150503708936,0.454
0.150592844521,0.455
0.150681983787,0.456
0.150771127288,0.457
0.150860275576,0.458
0.1509494292,0.459
0.151038588714,0.46
0.151127754666,0.461
0.151216927608,0.462
0.15130610809,0.463
0.151395296662,0.464
0.151484493874,0.465
0.151573700275,0.466
0.151662916416,0.467
0.151752142845,0.468
0.151841380113,0.469
0.151930628767,0.47
0.152019889359,0.471
0.152109162436,0.472
0.152198448549,0.473
0.152287748246,0.474
0.152377062077,0.475
0.152466390591,0.476
0.152555734338,0.477
0.152645093868,0.478
0.152734469731,0.479
0.152823862476,0.48
0.152913272654,0.481
0.153002700815,0.482
0.15309214751,0.483
0.153181613291,0.484
0.153271098707,0.485
0.153360604311,0.486
0.153450130656,0.487
0.153539678292,0.488
0.153629247774,0.489
0.153718839653,0.49
0.153808454484,0.491
0.153898092821,0.492
0.153987755218,0.493
0.154077442231,0.494
0.154167154414,0.495
0.154256892324,0.496
0.154346656518,0.497
0.154436447554,0.498
0.154526265989,0.499
0.154616112381,0.5
0.154705987291,0.501
0.154795891278,0.502
0.154885824903,0.503
0.154975788727,0.504
0.155065783313,0.505
0.155155809225,0.506
0.155245867025,0.507
0.15533595728,0.508
0.155426080554,0.509
0.155516237414,0.51
0.155606428428,0.511
0.155696654164,0.512
0.155786915191,0.513
0.155877212081,0.514
0.155967545405,0.515
0.156057915735,0.516
0.156148323645,0.517
0.15623876971,0.518
0.156329254506,0.519
0.15641977861,0.52
0.156510342599,0.521
0.156600947055,0.522
0.156691592556,0.523
0.156782279687,0.524
0.156873009028,0.525
0.156963781166,0.526
0.157054596687,0.527
0.157145456177,0.528
0.157236360225,0.529
0.157327309422,0.53
0.157418304359,0.531
0.15750934563,0.532
0.157600433828,0.533
0.15769156955,0.534
0.157782753395,0.535
0.15787398596,0.536
0.157965267847,0.537
0.15805659966,0.538
0.158147982001,0.539
0.158239415477,0.54
0.158330900696,0.541
0.158422438268,0.542
0.158514028803,0.543
0.158605672914,0.544
0.158697371218,0.545
0.158789124329,0.546
0.158880932869,0.547
0.158972797456,0.548
0.159064718714,0.549
0.159156697268,0.55
0.159248733744,0.551
0.159340828771,0.552
0.15943298298,0.553
0.159525197004,0.554
0.159617471479,0.555
0.159709807042,0.556
0.159802204332,0.557
0.159894663991,0.558
0.159987186664,0.559
0.160079772997,0.56
0.160172423639,0.561
0.160265139241,0.562
0.160357920457,0.563
0.160450767944,0.564
0.16054368236,0.565
0.160636664365,0.566
0.160729714625,0.567
0.160822833805,0.568
0.160916022574,0.569
0.161009281605,0.57
0.16110261157,0.571
0.161196013149,0.572
0.16128948702,0.573
0.161383033866,0.574
0.161476654373,0.575
0.16157034923,0.576
0.161664119127,0.577
0.16175796476,0.578
0.161851886825,0.579
0.161945886024,0.58
0.162039963059,0.581
0.162134118638,0.582
0.16222835347,0.583
0.162322668268,0.584
0.162417063749,0.585
0.162511540633,0.586
0.162606099641,0.587
0.162700741501,0.588
0.162795466943,0.589
0.162890276699,0.59
0.162985171506,0.591
0.163080152105,0.592
0.163175219239,0.593
0.163270373656,0.594
0.163365616107,0.595
0.163460947347,0.596
0.163556368135,0.597
0.163651879232,0.598
0.163747481407,0.599
0.163843175428,0.6
0.16393896207,0.601
0.164034842111,0.602
0.164130816335,0.603
0.164226885526,0.604
0.164323050476,0.605
0.16441931198,0.606
0.164515670837,0.607
0.164612127849,0.608
0.164708683826,0.609
0.164805339579,0.61
0.164902095924,0.611
0.164998953684,0.612
0.165095913684,0.613
0.165192976753,0.614
0.165290143729,0.615
0.165387415449,0.616
0.16548479276,0.617
0.165582276511,0.618
0.165679867556,0.619
0.165777566754,0.62
0.165875374971,0.621
0.165973293075,0.622
0.166071321943,0.623
0.166169462453,0.624
0.166267715492,0.625
0.166366081949,0.626
0.166464562722,0.627
0.166563158711,0.628
0.166661870824,0.629
0.166760699974,0.63
0.166859647079,0.631
0.166958713064,0.632
0.167057898859,0.633
0.167157205399,0.634
0.167256633627,0.635
0.16735618449,0.636
0.167455858944,0.637
0.167555657947,0.638
0.167655582468,0.639
0.167755633478,0.64
0.167855811957,0.641
0.167956118891,0.642
0.168056555272,0.643
0.168157122099,0.644
0.168257820379,0.645
0.168358651124,0.646
0.168459615353,0.647
0.168560714093,0.648
0.168661948377,0.649
0.168763319246,0.65
0.168864827749,0.651
0.16896647494,0.652
0.169068261883,0.653
0.169170189646,0.654
0.16927225931,0.655
0.169374471958,0.656
0.169476828684,0.657
0.16957933059,0.658
0.169681978784,0.659
0.169784774384,0.66
0.169887718516,0.661
0.169990812313,0.662
0.170094056918,0.663
0.17019745348,0.664
0.17030100316,0.665
0.170404707125,0.666
0.170508566552,0.667
0.170612582627,0.668
0.170716756545,0.669
0.170821089509,0.67
0.170925582732,0.671
0.171030237438,0.672
0.171135054858,0.673
0.171240036234,0.674
0.171345182817,0.675
0.171450495869,0.676
0.17155597666,0.677
0.171661626474,0.678
0.1717674466,0.679
0.171873438341,0.68
0.171979603009,0.681
0.172085941929,0.682
0.172192456433,0.683
0.172299147867,0.684
0.172406017587,0.685
0.17251306696,0.686
0.172620297364,0.687
0.17272771019,0.688
0.17283530684,0.689
0.172943088726,0.69
0.173051057275,0.691
0.173159213925,0.692
0.173267560124,0.693
0.173376097335,0.694
0.173484827035,0.695
0.173593750709,0.696
0.173702869859,0.697
0.173812185999,0.698
0.173921700657,0.699
0.174031415371,0.7
0.174141331698,0.701
0.174251451204,0.702
0.174361775473,0.703
0.1744723061,0.704
0.174583044696,0.705
0.174693992887,0.706
0.174805152313,0.707
0.174916524629,0.708
0.175028111506,0.709
0.175139914629,0.71
0.1752519357,0.711
0.175364176437,0.712
0.175476638572,0.713
0.175589323856,0.714
0.175702234055,0.715
0.175815370952,0.716
0.175928736347,0.717
0.176042332058,0.718
0.176156159919,0.719
0.176270221782,0.72
0.176384519519,0.721
0.176499055019,0.722
0.176613830188,0.723
0.176728846952,0.724
0.176844107258,0.725
0.176959613068,0.726
0.177075366368,0.727
0.177191369161,0.728
0.177307623472,0.729
